			1	1	1	0	1	1	0	1	0	0	1	0	1	1	1	0	0
序号	分类名称	供应商型号规格	品牌	产品系列	应用类型	认证	防爆类型	信号输出	显示及操作	电气连接	防护等级	压力范围	量程	精度	过程连接	连接材质	膜片材质	填充油	附加信息
80	差压压力变送器	3051DG1A62A1BM5B4HR5(-3~3kPa)	艾默生	3051DG	微差压	无认证	非防爆	4-20mA HART	本地显示	M20		-6.22kPa~6.22kPa	-3~3kPa		NPT1/4内螺纹*2	304	316L	硅油	
81	差压压力变送器	3051DG1A62A1BM5B4HR5(0~5kPa)	艾默生	3051DG	微差压	无认证	非防爆	4-20mA HART	本地显示	M20		-6.22kPa~6.22kPa	0~5kPa		NPT1/4内螺纹*2	304	316L	硅油	
82	差压压力变送器	3051DG1A62A1BM5B4HR5(-5~5kPa)	艾默生	3051DG	微差压	无认证	非防爆	4-20mA HART	本地显示	M20		-6.22kPa~6.22kPa	-5~5kPa		NPT1/4内螺纹*2	304	316L	硅油	
83	差压压力变送器	3051DG2A62A1BM5B4HR5(0~10kPa)	艾默生	3051DG	微差压	无认证	非防爆	4-20mA HART	本地显示	M20		-62.2kPa~62.2kPa	0~10kPa		NPT1/4内螺纹*2	304	316L	硅油	
84	差压压力变送器	3051DG2A62A1BM5B4HR5(-10~10kPa)	艾默生	3051DG	微差压	无认证	非防爆	4-20mA HART	本地显示	M20		-62.2kPa~62.2kPa	-10~10kPa		NPT1/4内螺纹*2	304	316L	硅油	
85	差压压力变送器	3051DG1A62A1BM5B4E3HR5(0~3kPa)	艾默生	3051DG	微差压	中国防火(ExdIICT4/T6)	隔爆	4-20mA HART	本地显示	M20		-6.22kPa~6.22kPa	0~3kPa		NPT1/4内螺纹*2	304	316L	硅油	
86	差压压力变送器	3051DG1A62A1BM5B4E3HR5(-3~3kPa)	艾默生	3051DG	微差压	中国防火(ExdIICT4/T6)	隔爆	4-20mA HART	本地显示	M20		-6.22kPa~6.22kPa	-3~3kPa		NPT1/4内螺纹*2	304	316L	硅油	
87	差压压力变送器	3051DG1A62A1BM5B4E3HR5(0~5kPa)	艾默生	3051DG	微差压	中国防火(ExdIICT4/T6)	隔爆	4-20mA HART	本地显示	M20		-6.22kPa~6.22kPa	0~5kPa		NPT1/4内螺纹*2	304	316L	硅油	
88	差压压力变送器	3051DG1A62A1BM5B4E3HR5(-5~5kPa)	艾默生	3051DG	微差压	中国防火(ExdIICT4/T6)	隔爆	4-20mA HART	本地显示	M20		-6.22kPa~6.22kPa	-5~5kPa		NPT1/4内螺纹*2	304	316L	硅油	
89	差压压力变送器	3051DG2A62A1BM5B4E3HR5(0~10kPa)	艾默生	3051DG	微差压	中国防火(ExdIICT4/T6)	隔爆	4-20mA HART	本地显示	M20		-62.2kPa~62.2kPa	0~10kPa		NPT1/4内螺纹*2	304	316L	硅油	
90	差压压力变送器	3051DG2A62A1BM5B4E3HR5(-10~10kPa)	艾默生	3051DG	微差压	中国防火(ExdIICT4/T6)	隔爆	4-20mA HART	本地显示	M20		-62.2kPa~62.2kPa	-10~10kPa		NPT1/4内螺纹*2	304	316L	硅油	
91	差压压力变送器	3051DG1A62A1BM5B4K8HR5(0~3kPa)	艾默生	3051DG	微差压	ATEX 防火,本安, n 型,防尘	本安	4-20mA HART	本地显示	M20		-6.22kPa~6.22kPa	0~3kPa		NPT1/4内螺纹*2	304	316L	硅油	
92	差压压力变送器	3051DG1A62A1BM5B4K8HR5(-3~3kPa)	艾默生	3051DG	微差压	ATEX 防火,本安, n 型,防尘	本安	4-20mA HART	本地显示	M20		-6.22kPa~6.22kPa	-3~3kPa		NPT1/4内螺纹*2	304	316L	硅油	
93	差压压力变送器	3051DG1A62A1BM5B4K8HR5(0~5kPa)	艾默生	3051DG	微差压	ATEX 防火,本安, n 型,防尘	本安	4-20mA HART	本地显示	M20		-6.22kPa~6.22kPa	0~5kPa		NPT1/4内螺纹*2	304	316L	硅油	
94	差压压力变送器	3051DG1A62A1BM5B4K8HR5(-5~5kPa)	艾默生	3051DG	微差压	ATEX 防火,本安, n 型,防尘	本安	4-20mA HART	本地显示	M20		-6.22kPa~6.22kPa	-5~5kPa		NPT1/4内螺纹*2	304	316L	硅油	
95	差压压力变送器	3051DG2A62A1BM5B4K8HR5(0~10kPa)	艾默生	3051DG	微差压	ATEX 防火,本安, n 型,防尘	本安	4-20mA HART	本地显示	M20		-62.2kPa~62.2kPa	0~10kPa		NPT1/4内螺纹*2	304	316L	硅油	
96	差压压力变送器	3051DG2A62A1BM5B4K8HR5(-10~10kPa)	艾默生	3051DG	微差压	ATEX 防火,本安, n 型,防尘	本安	4-20mA HART	本地显示	M20		-62.2kPa~62.2kPa	-10~10kPa		NPT1/4内螺纹*2	304	316L	硅油	
97	差压压力变送器	PMD55-AA21BB67HGBHA4A1C+AK(0~3bar)	E+H	PMD55	差压	非防爆区	非防爆	4-20mA HART	现场显示与设置	M20	IP66/68	70bar(静压),3bar(差压)	0~3bar		NPT1/4内螺纹*2,适用于垂直引压管,与表头成90°角	碳钢	316L	硅油	
