是否必填			1	1	1	1	1	1	1	1	1	0
序号	分类名称	供应商型号规格	品牌	产品系列	应用类别	分断能力	脱扣曲线	额定电流	极数	可配剩余电流动作附件	额定剩余动作电流	可配电气附件
129	微型断路器	iC65 N-C 50A /1P	施耐德	iC65	标准断路器	6KA	C型	50A	1P	无漏电保护	无漏电保护	无脱扣附件
130	微型断路器	iC65 N-C 63A /1P	施耐德	iC65	标准断路器	6KA	C型	63A	1P	无漏电保护	无漏电保护	无脱扣附件
131	微型断路器	iC65 H-C 1A /1P	施耐德	iC65	标准断路器	10KA	C型	1A	1P	无漏电保护	无漏电保护	无脱扣附件
132	微型断路器	iC65 H-C 2A /1P	施耐德	iC65	标准断路器	10KA	C型	2A	1P	无漏电保护	无漏电保护	无脱扣附件
133	微型断路器	iC65 H-C 3A /1P	施耐德	iC65	标准断路器	10KA	C型	3A	1P	无漏电保护	无漏电保护	无脱扣附件
134	微型断路器	iC65 H-C 4A /1P	施耐德	iC65	标准断路器	10KA	C型	4A	1P	无漏电保护	无漏电保护	无脱扣附件
135	微型断路器	iC65 H-C 6A /1P	施耐德	iC65	标准断路器	10KA	C型	6A	1P	无漏电保护	无漏电保护	无脱扣附件
136	微型断路器	iC65 H-C 10A /1P	施耐德	iC65	标准断路器	10KA	C型	10A	1P	无漏电保护	无漏电保护	无脱扣附件
137	微型断路器	iC65 H-C 16A /1P	施耐德	iC65	标准断路器	10KA	C型	16A	1P	无漏电保护	无漏电保护	无脱扣附件
138	微型断路器	iC65 H-C 20A /1P	施耐德	iC65	标准断路器	10KA	C型	20A	1P	无漏电保护	无漏电保护	无脱扣附件
139	微型断路器	iC65 H-C 25A /1P	施耐德	iC65	标准断路器	10KA	C型	25A	1P	无漏电保护	无漏电保护	无脱扣附件
140	微型断路器	iC65 H-C 32A /1P	施耐德	iC65	标准断路器	10KA	C型	32A	1P	无漏电保护	无漏电保护	无脱扣附件
141	微型断路器	iC65 H-C 40A /1P	施耐德	iC65	标准断路器	10KA	C型	40A	1P	无漏电保护	无漏电保护	无脱扣附件
142	微型断路器	iC65 H-C 50A /1P	施耐德	iC65	标准断路器	10KA	C型	50A	1P	无漏电保护	无漏电保护	无脱扣附件
143	微型断路器	iC65 H-C 63A /1P	施耐德	iC65	标准断路器	10KA	C型	63A	1P	无漏电保护	无漏电保护	无脱扣附件
144	微型断路器	iC65 L-C 1A /1P	施耐德	iC65	标准断路器	15KA	C型	1A	1P	无漏电保护	无漏电保护	无脱扣附件
145	微型断路器	iC65 L-C 2A /1P	施耐德	iC65	标准断路器	15KA	C型	2A	1P	无漏电保护	无漏电保护	无脱扣附件
146	微型断路器	iC65 L-C 3A /1P	施耐德	iC65	标准断路器	15KA	C型	3A	1P	无漏电保护	无漏电保护	无脱扣附件
147	微型断路器	iC65 L-C 4A /1P	施耐德	iC65	标准断路器	15KA	C型	4A	1P	无漏电保护	无漏电保护	无脱扣附件
148	微型断路器	iC65 L-C 6A /1P	施耐德	iC65	标准断路器	15KA	C型	6A	1P	无漏电保护	无漏电保护	无脱扣附件
